NOMBRE DPTYPE;NOMBRE DP;DESCRIPCION DP;ALIAS DP;ADDRESS REFERENCE DP;SUBSCRIPTION DP
013_ALARMAS;13_DB_Alarmas_d_ALM_EP_IGA;EP interruptor General;AL_EP_IGA;13_DB_Alarmas.d_ALM_EP_IGA;_SUB_ALARMAS_1
;13_DB_Alarmas_d_ALM_EP_FA;EP fuente de alimentacion;AL_EP_FA;13_DB_Alarmas.d_ALM_EP_FA;_SUB_ALARMAS_2
;13_DB_Alarmas_d_ALM_EP_SS_AA;EP Modulo de corte selectivo;AL_EP_SS_AA;13_DB_Alarmas.d_ALM_EP_SS_AA;_SUB_ALARMAS_3
;13_DB_Alarmas_d_ALM_EP_EP_MCS;EP Servicios auxiliares;AL_EP_EP_MCS;13_DB_Alarmas.d_ALM_EP_EP_MCS;_SUB_ALARMAS_4
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_1;Señales de armario;AL_ST_OUT_1;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_1;_SUB_ALARMAS_5
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_2;Scalance;AL_ST_OUT_2;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_2;_SUB_ALARMAS_6
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_3;PLC;AL_ST_OUT_3;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_3;_SUB_ALARMAS_7
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_4;Entrada/Salida digital;AL_ST_OUT_4;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_4;_SUB_ALARMAS_8
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_5;Entradas analogicas;AL_ST_OUT_5;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_5;_SUB_ALARMAS_9
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_6;Reserva;AL_ST_OUT_6;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_6;_SUB_ALARMAS_10
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_7;Reserva;AL_ST_OUT_7;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_7;_SUB_ALARMAS_11
;_13_DB_Modulo_Corte_Selectivo_ST_ALM_OUT_8;Reserva;AL_ST_OUT_8;_13_DB_Modulo_Corte_Selectivo.ST_ALM_OUT_8;_SUB_ALARMAS_12
